Sl. No.,District,LSGs needing special attention,Containment Zones - ward
400,Kasargode,Kumbala,1, 2, 3, 4, 5, 11,12,14, 17,18,20, 21, 22, 23
401,Kasargode,Kumbdaje,5, 6, 7, 9
402,Kasargode,Kuttikkole,5, 13
403,Kasargode,Madhur,6, 7, 9, 10, 11, 14, 18, 19
404,Kasargode,Madikkai,11, 14, 15
405,Kasargode,Mangalpady,1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 15, 17
406,Kasargode,Manjeshwar,1,2,3, 6,7,8, 9,10,11,12,13,14,15,17,19,20
407,Kasargode,Meenja,1, 2, 8, 11, 12, 13, 14
408,Kasargode,Mogral Puthur,4, 6, 10, 14
409,Kasargode,Nileshwar (M),5, 10, 21, 29, 30
410,Kasargode,Padanna,2, 5
411,Kasargode,Pallikkara,4, 12, 14, 19, 22
412,Kasargode,Panathady,2, 5, 7, 13, 14
413,Kasargode,Paivalike,16, 17
414,Kasargode,Pilicode,4, 7, 10, 11
415,Kasargode,Kayyur Cheemeni,2, 3, 5, 10
416,Pathanamthitta,Pathanamthitta (M),All Wards
417,Pathanamthitta,Thiruvalla (M),All Wards
418,Pathanamthitta,Kottangal,5, 6, 7, 8, 9
419,Pathanamthitta,Ezhamkulam,17
420,Pathanamthitta,Kodumon,12, 13, 17
421,Pathanamthitta,Naranganam,4
422,Pathanamthitta,Adoor (M),2, 3, 13
423,Pathanamthitta,Ayiroor,11,15
424,Pathanamthitta,Chennerkkara,4
425,Pathanamthitta,Erathu,11, 13, 15
426,Pathanamthitta,Pallickal,7
427,Pathanamthitta,Ranni Pazhavangadi,12, 13, 14
428,Pathanamthitta,Konni,12, 14
429,Pathanamthitta,Kulanada,2
430,Pathanamthitta,Kalanjoor,8, 9
431,Pathanamthitta,Thannithode,6, 8
432,Pathanamthitta,Enadhimangalam,15
433,Pathanamthitta,Peringara,11, 12, 13
434,Pathanamthitta,Eraviproor,6
435,Pathanamthitta,Vadasserikkara,6
436,Idukki,Kanjikuzhy,All Wards
437,Idukki,Rajakkad,All Wards
438,Idukki,Kanjiryar,11, 12
439,Idukki,Vazhathope,All Wards
440,Idukki,Mariyapuram,2, 5, 7, 10, 11
441,Idukki,Vannapuram,All Wards
442,Idukki,Munnar,19
443,Idukki,Vathikkudi,2, 3
444,Idukki,Kamakshi,10, 11, 12
445,Idukki,Kattappana (M),15, 16,
446,Idukki,Karimkunnam,1, 7, 8
447,Idukki,Edavetty,1, 11, 12, 13
448,Idukki,Vandanmedu,2, 3
449,Idukki,Konnathady,1, 18
450,Kottayam,Parathode,7, 8, 9, 16
451,Kottayam,Aymanam,6, 14
452,Kottayam,Thalayolaparamb,4
453,Kottayam,Udayanapuram,16
454,Kottayam,Kumarakom,4, 10, 11, 12
455,Kottayam,TV puram,10
456,Kottayam,Ettumanoor (M),4
457,Kottayam,Vechoor,1, 3, 4
458,Kottayam,Maravanthuruth,1, 11, 12
459,Kottayam,Changanassery (M),24, 31, 33, 34
460,Kottayam,Kanjirappally,18
461,Kottayam,Kottayam (M),24, 39, 46
462,Kottayam,Vazahppally,20
463,Kottayam,Payippad,7, 8, 9, 10, 11
464,Kottayam,Thalayazham,1
465,Kottayam,Thiruvarpp,11
466,Kottayam,Vaikom (M),13, 21, 24, 25
467,Kottayam,Kurichi,20
468,Malappuram,Ponnani (M),All Wards
469,Malappuram,Perumpadapp,All Wards
470,Malappuram,Veliyamkode,All Wards
471,Malappuram,Marancheri,All Wards
472,Malappuram,Alamkode,All Wards
473,Malappuram,Vattamkulam,All Wards
474,Malappuram,Edappal,All Wards
475,Malappuram,Kaladi,All Wards
476,Malappuram,Tanur (M),All Wards
477,Malappuram,Kondotty (M),All Wards
478,Malappuram,Nilambur (M),All Wards
479,Malappuram,Peruvallur,3, 12, 13, 18, 19
480,Malappuram,Mampad,2, 3, 11, 12,13
481,Malappuram,Pallikkal,3, 7, 8, 9, 10, 11, 12, 13, 15
482,Wayanad,Thirunelli,All Wards
483,Wayanad,Thondarnadu,1, 2, 3, 4, 5, 10, 11, 12, 13, 15
484,Wayanad,Mullankolly,All Wards
485,Wayanad,Kaniyambatta,15, 16, 17
486,Wayanad,Pulpally,All Wards
487,Wayanad,Mananthavadi (M),16
488,Wayanad,Kalppatta,18 - Rattakkolli Paniya Colony
489,Wayanad,Edavaka,12, 16, 17
490,Wayanad,Vellamunda,2, 3, 4, 9
491,Wayanad,Padinjarathara,1, 16
492,Wayanad,Thavinjal,1, 2
493,Wayanad,Noolppuzha,14, 15, 16, 17
494,Wayanad,Nenmeni,3, 4
495,Wayanad,Sulthan Batheri (M),15, 23,24
